table_name,original,perturbed,all_columns,method,timestamp
UK_CSV0000000000002010__23,Kidney Disease,kidney Disease,"Post-Op Q Activity,Stroke,Kidney Disease,Knee Replacement Post-Op Q Transport,Pre-Op Q Activity",llm,2025-11-17T05:52:47.495504
UK_CSV0000000000002010__23,Knee Replacement Post-Op Q Transport,knee Replacement Post-Op Q Transport,"Post-Op Q Activity,Stroke,Kidney Disease,Knee Replacement Post-Op Q Transport,Pre-Op Q Activity",llm,2025-11-17T05:52:47.831206
UK_CSV0000000000002010__23,Knee Replacement Pre-Op Q Kneeling,knee Replacement Pre-Op Q Kneeling,"Post-Op Q Activity,Stroke,Kidney Disease,Knee Replacement Post-Op Q Transport,Pre-Op Q Activity",llm,2025-11-17T05:52:48.829131
UK_CSV0000000000006255__20,q10e_06,q10e-06,"q03a_11,q09_04,q04bi_12,q15ca_08,q05_01",llm,2025-11-17T05:52:49.839475
UK_CSV0000000000006255__20,qd1,QD1,"q03a_11,q09_04,q04bi_12,q15ca_08,q05_01",llm,2025-11-17T05:52:50.831179
UK_CSV0000000000006255__20,qa1_05,qa1-05,"q03a_11,q09_04,q04bi_12,q15ca_08,q05_01",llm,2025-11-17T05:52:51.834346
UK_CSV0000000000003912,AphiaId,AphiaI,"RecordKey,SurveyKey,SurveyName,SampleKey,StartDate",llm,2025-11-17T05:52:52.834755
UK_CSV0000000000003912,LocationName,locationName,"RecordKey,SurveyKey,SurveyName,SampleKey,StartDate",llm,2025-11-17T05:52:53.832090
UK_CSV0000000000003912,RecordKey,recordKey,"RecordKey,SurveyKey,SurveyName,SampleKey,StartDate",llm,2025-11-17T05:52:54.833950
UK_CSV0000000000002010__24,Provider Code,Provid,"Knee Replacement Post-Op Q Work,Knee Replacement Post-Op Q Night Pain,Knee Replacement EQ 5D Index Post-Op Q Predicted,Knee Replacement Pre-Op Q Walking,Knee Replacement Post-Op Q Confidence",llm,2025-11-17T05:52:55.866573
UK_CSV0000000000002010__24,Knee Replacement Post-Op Q Confidence,knee _replacement _post-_op _q _confidence,"Knee Replacement Post-Op Q Work,Knee Replacement Post-Op Q Night Pain,Knee Replacement EQ 5D Index Post-Op Q Predicted,Knee Replacement Pre-Op Q Walking,Knee Replacement Post-Op Q Confidence",llm,2025-11-17T05:52:56.846529
UK_CSV0000000000002010__24,Knee Replacement OKS Post-Op Q Predicted,knee _replacement _o_k_s _post-_op _q _predicted,"Knee Replacement Post-Op Q Work,Knee Replacement Post-Op Q Night Pain,Knee Replacement EQ 5D Index Post-Op Q Predicted,Knee Replacement Pre-Op Q Walking,Knee Replacement Post-Op Q Confidence",llm,2025-11-17T05:52:57.836431
UK_CSV0000000000005854__24,People with ethnicity recorded,People,"Provider Code,% caseload active,Cluster episodes ended net,Reviews with little change,% CPA reviews with MHCT",llm,2025-11-17T05:52:58.854770
UK_CSV0000000000005854__24,% with ethnicity recorded,% WITH ETHNICITY RECORDED,"Provider Code,% caseload active,Cluster episodes ended net,Reviews with little change,% CPA reviews with MHCT",llm,2025-11-17T05:52:59.845239
UK_CSV0000000000005854__24,Provider Code,provider Code,"Provider Code,% caseload active,Cluster episodes ended net,Reviews with little change,% CPA reviews with MHCT",llm,2025-11-17T05:53:00.837329
UK_CSV0000000000011544,Crime ID,crime _i_d,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:53:01.842731
UK_CSV0000000000011544,LSOA code,LSOA c,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:53:02.837369
UK_CSV0000000000011544,LSOA name,l_s_o_a name,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:53:03.840693
UK_CSV0000000000007396__0,Knee Replacement Pre-Op Q Confidence,Knee R,"Knee Replacement Pre-Op Q Washing,Procedure,Knee Replacement EQ 5D Index Post-Op Q Predicted,Knee Replacement Pre-Op Q Confidence,Post-Op Q Discomfort",llm,2025-11-17T05:53:04.851697
UK_CSV0000000000007396__0,Knee Replacement Post-Op Q Confidence,knee Replacement Post-Op Q Confidence,"Knee Replacement Pre-Op Q Washing,Procedure,Knee Replacement EQ 5D Index Post-Op Q Predicted,Knee Replacement Pre-Op Q Confidence,Post-Op Q Discomfort",llm,2025-11-17T05:53:05.843010
UK_CSV0000000000007396__0,Knee Replacement EQ 5D Index Post-Op Q Predicted,knee Replacement EQ 5D Index Post-Op Q Predicted,"Knee Replacement Pre-Op Q Washing,Procedure,Knee Replacement EQ 5D Index Post-Op Q Predicted,Knee Replacement Pre-Op Q Confidence,Post-Op Q Discomfort",llm,2025-11-17T05:53:06.841057
UK_CSV0000000000006676__19,Provider Code,provider _code,"Kidney Disease,Procedure,Hip Replacement Post-Op Q Sudden Pain,Hip Replacement Pre-Op Q Dressing,Pre-Op Q Symptom Period",llm,2025-11-17T05:53:07.843067
UK_CSV0000000000006676__19,Kidney Disease,kidney _disease,"Kidney Disease,Procedure,Hip Replacement Post-Op Q Sudden Pain,Hip Replacement Pre-Op Q Dressing,Pre-Op Q Symptom Period",llm,2025-11-17T05:53:08.847130
UK_CSV0000000000006676__19,Hip Replacement EQ VAS Post-Op Q Predicted,hip _replacement _e_q _v_a_s _post-_op _q _predicted,"Kidney Disease,Procedure,Hip Replacement Post-Op Q Sudden Pain,Hip Replacement Pre-Op Q Dressing,Pre-Op Q Symptom Period",llm,2025-11-17T05:53:09.844678
