Tresaith beach (Aberporth),Tresaith beach (Aberporth),Newport Sands (Newport),Newport Sands (Newport),Fairbourne beach (Barmouth),Poppit Sands (Cardigan),W of Ynyslas dunes (Aberdyfi),S Morfa Dyffryn (Harlech),S Morfa Dyffryn (Harlech),Beach near Borth Coast Guard Station (Aberdyfi),S Tywyn beach (Aberdyfi),S Tywyn beach (Aberdyfi),S Tywyn beach (Aberdyfi),N of Llanaber (shore) (Barmouth),N of Llanaber (shore) (Barmouth),Mochras Lagoon (Harlech),Cwm-yr-Eglwys (Newport),Craig y Gwbert (Cardigan),Cwm-yr-Eglwys (Newport),SW of Gilfach-yr-Halen (Aberaeron),SW Cardigan Island shore (Cardigan),Rheidol and Ystwyth estuaries (Aberystwyth),Pen-y-bal (Newport),NW Cardigan Island (Cardigan),W Ceibwr Bay (Cardigan),Trwyn Carreg-ddu (Cardigan),S Morfa Dyffryn (Harlech),Llanrhystud (Aberystwyth),Newport (Newport),W Llanina Point (Aberaeron),W Llanina Point (Aberaeron),Harlech beach (Harlech),"Coronation Drive, Gwbert (Cardigan)",S of Llanon (Aberaeron),Aberaeron estuary (Aberaeron),Fairbourne beach (Barmouth),E Aberporth (Aberporth),Sarn Cynfelyn (Aberystwyth),Cardigan (upstream of cattle market) (Cardigan),Ceibwr Bay (Cardigan),Broad Water (Aberdyfi),Broad Water (Aberdyfi),Broad Water (Aberdyfi),Broad Water (Aberdyfi),E of Webley Hotel (Cardigan),E of Webley Hotel (Cardigan),N St Dogmaels slipway (Cardigan),N of Llanaber (shore) (Barmouth),N of Llanaber (shore) (Barmouth),Harlech beach (Harlech)
-,-,Net - 2-3 children,-,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,1 child,-,Net - 2-3 children,-,-,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,1 child,-,-,-,-,Net - 2-3 children,Net - More than 3 children,Net - 2-3 children,-,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,-,Net - More than 3 children,1 child,Net - 2-3 children,-,Net - 2-3 children,Net - 2-3 children,Net - More than 3 children,1 child,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,1 child,-,-,Net - 2-3 children,-,1 child,1 child,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children
5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,19 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral
-,No,-,-,No,-,No,Yes,-,-,-,-,-,No,No,No,-,-,-,-,-,-,-,-,No,-,-,-,-,-,-,-,-,Yes,No,No,-,No,-,-,Yes,-,-,-,-,-,-,-,-,-
20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,21 February 1942,22 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,22 February 1942,12 March 1942
Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral
No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Purity_Degradation,Harm_Care,Harm_Care,Purity_Degradation,Harm_Care,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Purity_Degradation,Harm_Care,Fairness_Cheating,Harm_Care,Loyal_betrayal,Authority_Subversion,Harm_Care,Harm_Care,Purity_Degradation,Harm_Care,Fairness_Cheating,Fairness_Cheating,Harm_Care,Fairness_Cheating,Purity_Degradation,Fairness_Cheating,Purity_Degradation,Authority_Subversion,Fairness_Cheating,Harm_Care,Fairness_Cheating,Harm_Care,Loyal_betrayal,Harm_Care,Harm_Care,Harm_Care,Harm_Care,Fairness_Cheating,Fairness_Cheating,Purity_Degradation,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Harm_Care,Purity_Degradation,Harm_Care,Purity_Degradation,Fairness_Cheating,Fairness_Cheating
